time(mS),current(pA)
0.03125,3501.09375
0.0625,3502.1875
0.09375,3503.28125
0.125,3504.375
0.15625,3505.46875
0.1875,3506.5625
0.21875,3507.65625
0.25,3508.75
0.28125,3509.84375
0.3125,3510.9375
0.34375,3512.03125
0.375,3513.125
0.40625,3514.21875
0.4375,3515.3125
0.46875,3516.40625
0.5,3517.5
0.53125,3518.59375
0.5625,3519.6875
0.59375,3520.78125
0.625,3521.875
0.65625,3522.96875
0.6875,3524.0625
0.71875,3525.15625
0.75,3526.25
0.78125,3527.34375
0.8125,3528.4375
0.84375,3529.53125
0.875,3530.625
0.90625,3531.71875
0.9375,3532.8125
0.96875,3533.90625
1.0,3535.0
1.03125,3536.09375
1.0625,3537.1875
1.09375,3538.28125
1.125,3539.375
1.15625,3540.46875
1.1875,3541.5625
1.21875,3542.65625
1.25,3543.75
1.28125,3544.84375
1.3125,3545.9375
1.34375,3547.03125
1.375,3548.125
1.40625,3549.21875
1.4375,3550.3125
1.46875,3551.40625
1.5,3552.5
1.53125,3553.59375
1.5625,3554.6875
1.59375,3555.78125
1.625,3556.875
1.65625,3557.96875
1.6875,3559.0625
1.71875,3560.15625
1.75,3561.25
1.78125,3562.34375
1.8125,3563.4375
1.84375,3564.53125
1.875,3565.625
1.90625,3566.71875
1.9375,3567.8125
1.96875,3568.90625
2.0,3570.0
2.03125,3571.09375
2.0625,3572.1875
2.09375,3573.28125
2.125,3574.375
2.15625,3575.46875
2.1875,3576.5625
2.21875,3577.65625
2.25,3578.75
2.28125,3579.84375
2.3125,3580.9375
2.34375,3582.03125
2.375,3583.125
2.40625,3584.21875
2.4375,3585.3125
2.46875,3586.40625
2.5,3587.5
2.53125,3588.59375
2.5625,3589.6875
2.59375,3590.78125
2.625,3591.875
2.65625,3592.96875
2.6875,3594.0625
2.71875,3595.15625
2.75,3596.25
2.78125,3597.34375
2.8125,3598.4375
2.84375,3599.53125
2.875,3600.625
2.90625,3601.71875
2.9375,3602.8125
2.96875,3603.90625
3.0,3605.0
3.03125,3606.09375
3.0625,3607.1875
3.09375,3608.28125
3.125,3609.375
3.15625,3610.46875
3.1875,3611.5625
3.21875,3612.65625
3.25,3613.75
3.28125,3614.84375
3.3125,3615.9375
3.34375,3617.03125
3.375,3618.125
3.40625,3619.21875
3.4375,3620.3125
3.46875,3621.40625
3.5,3622.5
3.53125,3623.59375
3.5625,3624.6875
3.59375,3625.78125
3.625,3626.875
3.65625,3627.96875
3.6875,3629.0625
3.71875,3630.15625
3.75,3631.25
3.78125,3632.34375
3.8125,3633.4375
3.84375,3634.53125
3.875,3635.625
3.90625,3636.71875
3.9375,3637.8125
3.96875,3638.90625
4.0,3640.0
4.03125,3641.09375
4.0625,3642.1875
4.09375,3643.28125
4.125,3644.375
4.15625,3645.46875
4.1875,3646.5625
4.21875,3647.65625
4.25,3648.75
4.28125,3649.84375
4.3125,3650.9375
4.34375,3652.03125
4.375,3653.125
4.40625,3654.21875
4.4375,3655.3125
4.46875,3656.40625
4.5,3657.5
4.53125,3658.59375
4.5625,3659.6875
4.59375,3660.78125
4.625,3661.875
4.65625,3662.96875
4.6875,3664.0625
4.71875,3665.15625
4.75,3666.25
4.78125,3667.34375
4.8125,3668.4375
4.84375,3669.53125
4.875,3670.625
4.90625,3671.71875
4.9375,3672.8125
4.96875,3673.90625
5.0,3675.0
5.03125,3676.09375
5.0625,3677.1875
5.09375,3678.28125
5.125,3679.375
5.15625,3680.46875
5.1875,3681.5625
5.21875,3682.65625
5.25,3683.75
5.28125,3684.84375
5.3125,3685.9375
5.34375,3687.03125
5.375,3688.125
5.40625,3689.21875
5.4375,3690.3125
5.46875,3691.40625
5.5,3692.5
5.53125,3693.59375
5.5625,3694.6875
5.59375,3695.78125
5.625,3696.875
5.65625,3697.96875
5.6875,3699.0625
5.71875,3700.15625
5.75,3701.25
5.78125,3702.34375
5.8125,3703.4375
5.84375,3704.53125
5.875,3705.625
5.90625,3706.71875
5.9375,3707.8125
5.96875,3708.90625
6.0,3710.0
6.03125,3711.09375
6.0625,3712.1875
6.09375,3713.28125
6.125,3714.375
6.15625,3715.46875
6.1875,3716.5625
6.21875,3717.65625
6.25,3718.75
6.28125,3719.84375
6.3125,3720.9375
6.34375,3722.03125
6.375,3723.125
6.40625,3724.21875
6.4375,3725.3125
6.46875,3726.40625
6.5,3727.5
6.53125,3728.59375
6.5625,3729.6875
6.59375,3730.78125
6.625,3731.875
6.65625,3732.96875
6.6875,3734.0625
6.71875,3735.15625
6.75,3736.25
6.78125,3737.34375
6.8125,3738.4375
6.84375,3739.53125
6.875,3740.625
6.90625,3741.71875
6.9375,3742.8125
6.96875,3743.90625
7.0,3745.0
7.03125,3746.09375
7.0625,3747.1875
7.09375,3748.28125
7.125,3749.375
7.15625,3750.46875
7.1875,3751.5625
7.21875,3752.65625
7.25,3753.75
7.28125,3754.84375
7.3125,3755.9375
7.34375,3757.03125
7.375,3758.125
7.40625,3759.21875
7.4375,3760.3125
7.46875,3761.40625
7.5,3762.5
7.53125,3763.59375
7.5625,3764.6875
7.59375,3765.78125
7.625,3766.875
7.65625,3767.96875
7.6875,3769.0625
7.71875,3770.15625
7.75,3771.25
7.78125,3772.34375
7.8125,3773.4375
7.84375,3774.53125
7.875,3775.625
7.90625,3776.71875
7.9375,3777.8125
7.96875,3778.90625
8.0,3780.0
8.03125,3781.09375
8.0625,3782.1875
8.09375,3783.28125
8.125,3784.375
8.15625,3785.46875
8.1875,3786.5625
8.21875,3787.65625
8.25,3788.75
8.28125,3789.84375
8.3125,3790.9375
8.34375,3792.03125
8.375,3793.125
8.40625,3794.21875
8.4375,3795.3125
8.46875,3796.40625
8.5,3797.5
8.53125,3798.59375
8.5625,3799.6875
8.59375,3800.78125
8.625,3801.875
8.65625,3802.96875
8.6875,3804.0625
8.71875,3805.15625
8.75,3806.25
8.78125,3807.34375
8.8125,3808.4375
8.84375,3809.53125
8.875,3810.625
8.90625,3811.71875
8.9375,3812.8125
8.96875,3813.90625
9.0,3815.0
9.03125,3816.09375
9.0625,3817.1875
9.09375,3818.28125
9.125,3819.375
9.15625,3820.46875
9.1875,3821.5625
9.21875,3822.65625
9.25,3823.75
9.28125,3824.84375
9.3125,3825.9375
9.34375,3827.03125
9.375,3828.125
9.40625,3829.21875
9.4375,3830.3125
9.46875,3831.40625
9.5,3832.5
9.53125,3833.59375
9.5625,3834.6875
9.59375,3835.78125
9.625,3836.875
9.65625,3837.96875
9.6875,3839.0625
9.71875,3840.15625
9.75,3841.25
9.78125,3842.34375
9.8125,3843.4375
9.84375,3844.53125
9.875,3845.625
9.90625,3846.71875
9.9375,3847.8125
9.96875,3848.90625
10.0,3850.0
10.03125,3851.09375
10.0625,3852.1875
10.09375,3853.28125
10.125,3854.375
10.15625,3855.46875
10.1875,3856.5625
10.21875,3857.65625
10.25,3858.75
10.28125,3859.84375
10.3125,3860.9375
10.34375,3862.03125
10.375,3863.125
10.40625,3864.21875
10.4375,3865.3125
10.46875,3866.40625
10.5,3867.5
10.53125,3868.59375
10.5625,3869.6875
10.59375,3870.78125
10.625,3871.875
10.65625,3872.96875
10.6875,3874.0625
10.71875,3875.15625
10.75,3876.25
10.78125,3877.34375
10.8125,3878.4375
10.84375,3879.53125
10.875,3880.625
10.90625,3881.71875
10.9375,3882.8125
10.96875,3883.90625
11.0,3885.0
11.03125,3886.09375
11.0625,3887.1875
11.09375,3888.28125
11.125,3889.375
11.15625,3890.46875
11.1875,3891.5625
11.21875,3892.65625
11.25,3893.75
11.28125,3894.84375
11.3125,3895.9375
11.34375,3897.03125
11.375,3898.125
11.40625,3899.21875
11.4375,3900.3125
11.46875,3901.40625
11.5,3902.5
11.53125,3903.59375
11.5625,3904.6875
11.59375,3905.78125
11.625,3906.875
11.65625,3907.96875
11.6875,3909.0625
11.71875,3910.15625
11.75,3911.25
11.78125,3912.34375
11.8125,3913.4375
11.84375,3914.53125
11.875,3915.625
11.90625,3916.71875
11.9375,3917.8125
11.96875,3918.90625
12.0,3920.0
12.03125,3921.09375
12.0625,3922.1875
12.09375,3923.28125
12.125,3924.375
12.15625,3925.46875
12.1875,3926.5625
12.21875,3927.65625
12.25,3928.75
12.28125,3929.84375
12.3125,3930.9375
12.34375,3932.03125
12.375,3933.125
12.40625,3934.21875
12.4375,3935.3125
12.46875,3936.40625
12.5,3937.5
12.53125,3938.59375
12.5625,3939.6875
12.59375,3940.78125
12.625,3941.875
12.65625,3942.96875
12.6875,3944.0625
12.71875,3945.15625
12.75,3946.25
12.78125,3947.34375
12.8125,3948.4375
12.84375,3949.53125
12.875,3950.625
12.90625,3951.71875
12.9375,3952.8125
12.96875,3953.90625
13.0,3955.0
13.03125,3956.09375
13.0625,3957.1875
13.09375,3958.28125
13.125,3959.375
13.15625,3960.46875
13.1875,3961.5625
13.21875,3962.65625
13.25,3963.75
13.28125,3964.84375
13.3125,3965.9375
13.34375,3967.03125
13.375,3968.125
13.40625,3969.21875
13.4375,3970.3125
13.46875,3971.40625
13.5,3972.5
13.53125,3973.59375
13.5625,3974.6875
13.59375,3975.78125
13.625,3976.875
13.65625,3977.96875
13.6875,3979.0625
13.71875,3980.15625
13.75,3981.25
13.78125,3982.34375
13.8125,3983.4375
13.84375,3984.53125
13.875,3985.625
13.90625,3986.71875
13.9375,3987.8125
13.96875,3988.90625
14.0,3990.0
14.03125,3991.09375
14.0625,3992.1875
14.09375,3993.28125
14.125,3994.375
14.15625,3995.46875
14.1875,3996.5625
14.21875,3997.65625
14.25,3998.75
14.28125,3999.84375
14.3125,4000.9375
14.34375,4002.03125
14.375,4003.125
14.40625,4004.21875
14.4375,4005.3125
14.46875,4006.40625
14.5,4007.5
14.53125,4008.59375
14.5625,4009.6875
14.59375,4010.78125
14.625,4011.875
14.65625,4012.96875
14.6875,4014.0625
14.71875,4015.15625
14.75,4016.25
14.78125,4017.34375
14.8125,4018.4375
14.84375,4019.53125
14.875,4020.625
14.90625,4021.71875
14.9375,4022.8125
14.96875,4023.90625
15.0,4025.0
15.03125,4026.09375
15.0625,4027.1875
15.09375,4028.28125
15.125,4029.375
15.15625,4030.46875
15.1875,4031.5625
15.21875,4032.65625
15.25,4033.75
15.28125,4034.84375
15.3125,4035.9375
15.34375,4037.03125
15.375,4038.125
15.40625,4039.21875
15.4375,4040.3125
15.46875,4041.40625
15.5,4042.5
15.53125,4043.59375
15.5625,4044.6875
15.59375,4045.78125
15.625,4046.875
15.65625,4047.96875
15.6875,4049.0625
15.71875,4050.15625
15.75,4051.25
15.78125,4052.34375
15.8125,4053.4375
15.84375,4054.53125
15.875,4055.625
15.90625,4056.71875
15.9375,4057.8125
15.96875,4058.90625
16.0,4060.0
16.03125,4061.09375
16.0625,4062.1875
16.09375,4063.28125
16.125,4064.375
16.15625,4065.46875
16.1875,4066.5625
16.21875,4067.65625
16.25,4068.75
16.28125,4069.84375
16.3125,4070.9375
16.34375,4072.03125
16.375,4073.125
16.40625,4074.21875
16.4375,4075.3125
16.46875,4076.40625
16.5,4077.5
16.53125,4078.59375
16.5625,4079.6875
16.59375,4080.78125
16.625,4081.875
16.65625,4082.96875
16.6875,4084.0625
16.71875,4085.15625
16.75,4086.25
16.78125,4087.34375
16.8125,4088.4375
16.84375,4089.53125
16.875,4090.625
16.90625,4091.71875
16.9375,4092.8125
16.96875,4093.90625
17.0,4095.0
17.03125,4096.09375
17.0625,4097.1875
17.09375,4098.28125
17.125,4099.375
17.15625,4100.46875
17.1875,4101.5625
17.21875,4102.65625
17.25,4103.75
17.28125,4104.84375
17.3125,4105.9375
17.34375,4107.03125
17.375,4108.125
17.40625,4109.21875
17.4375,4110.3125
17.46875,4111.40625
17.5,4112.5
17.53125,4113.59375
17.5625,4114.6875
17.59375,4115.78125
17.625,4116.875
17.65625,4117.96875
17.6875,4119.0625
17.71875,4120.15625
17.75,4121.25
17.78125,4122.34375
17.8125,4123.4375
17.84375,4124.53125
17.875,4125.625
17.90625,4126.71875
17.9375,4127.8125
17.96875,4128.90625
18.0,4130.0
18.03125,4131.09375
18.0625,4132.1875
18.09375,4133.28125
18.125,4134.375
18.15625,4135.46875
18.1875,4136.5625
18.21875,4137.65625
18.25,4138.75
18.28125,4139.84375
18.3125,4140.9375
18.34375,4142.03125
18.375,4143.125
18.40625,4144.21875
18.4375,4145.3125
18.46875,4146.40625
18.5,4147.5
18.53125,4148.59375
18.5625,4149.6875
18.59375,4150.78125
18.625,4151.875
18.65625,4152.96875
18.6875,4154.0625
18.71875,4155.15625
18.75,4156.25
18.78125,4157.34375
18.8125,4158.4375
18.84375,4159.53125
18.875,4160.625
18.90625,4161.71875
18.9375,4162.8125
18.96875,4163.90625
19.0,4165.0
19.03125,4166.09375
19.0625,4167.1875
19.09375,4168.28125
19.125,4169.375
19.15625,4170.46875
19.1875,4171.5625
19.21875,4172.65625
19.25,4173.75
19.28125,4174.84375
19.3125,4175.9375
