time(mS),current(pA)
0.03125,0.0
0.0625,11043.52583272365
0.09375,0.0
0.125,0.0
0.15625,8088.513622952159
0.1875,7556.391982240778
0.21875,6667.583251234888
0.25,0.0
0.28125,5451.539078328431
0.3125,0.0
0.34375,0.0
0.375,0.0
0.40625,0.0
0.4375,0.0
0.46875,0.0
0.5,0.0
0.53125,11416.796086607948
0.5625,7678.221003431825
0.59375,9111.775929525702
0.625,10825.389050400563
0.65625,0.0
0.6875,0.0
0.71875,0.0
0.75,0.0
0.78125,14741.515195448734
0.8125,0.0
0.84375,6757.528399219914
0.875,0.0
0.90625,0.0
0.9375,0.0
0.96875,10586.328534836295
1.0,0.0
1.03125,0.0
1.0625,0.0
1.09375,0.0
1.125,0.0
1.15625,0.0
1.1875,3899.2510997615386
1.21875,0.0
1.25,8825.39381095447
1.28125,0.0
1.3125,6683.147977552836
1.34375,7195.603029517258
1.375,451.372569234369
1.40625,6751.878635816857
1.4375,7778.54688614174
1.46875,0.0
1.5,0.0
1.53125,0.0
1.5625,0.0
1.59375,0.0
1.625,5212.993283661655
1.65625,0.0
1.6875,0.0
1.71875,0.0
1.75,5136.691172890034
1.78125,0.0
1.8125,0.0
1.84375,0.0
1.875,9818.361187903287
1.90625,3180.35207556948
1.9375,0.0
1.96875,0.0
2.0,7719.735851255057
2.03125,0.0
2.0625,0.0
2.09375,14638.023510595784
2.125,14981.150936880049
2.15625,0.0
2.1875,12455.433273777791
2.21875,0.0
2.25,0.0
2.28125,0.0
2.3125,14755.890892260479
2.34375,0.0
2.375,0.0
2.40625,0.0
2.4375,0.0
2.46875,0.0
2.5,1217.5083973407568
2.53125,0.0
2.5625,0.0
2.59375,0.0
2.625,4278.988859607065
2.65625,0.0
2.6875,8520.800577505606
2.71875,0.0
2.75,0.0
2.78125,1893.892680385496
2.8125,0.0
2.84375,4763.960763018992
2.875,7432.631547257975
2.90625,10204.328762967996
2.9375,0.0
2.96875,4950.075025930211
3.0,12838.916317615674
3.03125,618.6484233146173
3.0625,0.0
3.09375,0.0
3.125,2568.820568599163
3.15625,0.0
3.1875,0.0
3.21875,0.0
3.25,0.0
3.28125,0.0
3.3125,0.0
3.34375,0.0
3.375,0.0
3.40625,0.0
3.4375,11999.094778406676
3.46875,0.0
3.5,0.0
3.53125,4133.575708658002
3.5625,0.0
3.59375,1959.774691574146
3.625,0.0
3.65625,7183.745639377883
3.6875,0.0
3.71875,0.0
3.75,0.0
3.78125,3678.3836336273716
3.8125,0.0
3.84375,6271.20811969449
3.875,0.0
3.90625,0.0
3.9375,0.0
3.96875,0.0
4.0,0.0
4.03125,0.0
4.0625,0.0
4.09375,3249.7026114726527
4.125,6961.893933598871
4.15625,0.0
4.1875,0.0
4.21875,3082.356657331978
4.25,0.0
4.28125,0.0
4.3125,0.0
4.34375,0.0
4.375,0.0
4.40625,0.0
4.4375,14633.154728759278
4.46875,0.0
4.5,11161.937438987607
4.53125,5774.59229511698
4.5625,0.0
4.59375,0.0
4.625,0.0
4.65625,0.0
4.6875,0.0
4.71875,5057.124970274394
4.75,0.0
4.78125,0.0
4.8125,0.0
4.84375,0.0
4.875,14565.704667140551
4.90625,0.0
4.9375,0.0
4.96875,1828.7858006878876
5.0,8866.61083871287
5.03125,0.0
5.0625,0.0
5.09375,9672.170316168183
5.125,2598.312724586653
5.15625,0.0
5.1875,0.0
5.21875,0.0
5.25,0.0
5.28125,0.0
5.3125,0.0
5.34375,0.0
5.375,0.0
5.40625,0.0
5.4375,0.0
5.46875,4426.6871526518535
5.5,0.0
5.53125,0.0
5.5625,11867.08082141087
5.59375,0.0
5.625,0.0
5.65625,0.0
5.6875,0.0
5.71875,9810.29471560266
5.75,8886.955242724112
5.78125,2907.8141297495154
5.8125,0.0
5.84375,7954.369237641199
5.875,0.0
5.90625,11382.832936118737
5.9375,0.0
5.96875,9096.60315330221
6.0,0.0
6.03125,0.0
6.0625,0.0
6.09375,0.0
6.125,0.0
6.15625,0.0
6.1875,4547.128206906775
6.21875,0.0
6.25,0.0
6.28125,0.0
6.3125,2055.8196984402975
6.34375,11603.974932144056
6.375,0.0
6.40625,696.4169004638809
6.4375,0.0
6.46875,0.0
6.5,13564.580561068125
6.53125,0.0
6.5625,0.0
6.59375,0.0
6.625,5857.867557145028
6.65625,0.0
6.6875,1694.5310324653256
6.71875,0.0
6.75,0.0
6.78125,0.0
6.8125,0.0
6.84375,0.0
6.875,0.0
6.90625,0.0
6.9375,0.0
6.96875,0.0
7.0,0.0
7.03125,0.0
7.0625,0.0
7.09375,0.0
7.125,0.0
7.15625,7053.383002437086
7.1875,0.0
7.21875,0.0
7.25,0.0
7.28125,0.0
7.3125,0.0
7.34375,0.0
7.375,0.0
7.40625,0.0
7.4375,0.0
7.46875,14723.157631775046
7.5,8263.623001025848
7.53125,0.0
7.5625,8290.0903608021
7.59375,3603.3129687504834
7.625,0.0
7.65625,4521.332185934876
7.6875,0.0
7.71875,0.0
7.75,0.0
7.78125,0.0
7.8125,1459.3295724050577
7.84375,3257.3604563948334
7.875,0.0
7.90625,3034.0987458971363
7.9375,0.0
7.96875,0.0
8.0,0.0
8.03125,0.0
8.0625,1030.6897561366668
8.09375,4256.098856984289
8.125,0.0
8.15625,0.0
8.1875,7296.316444877551
8.21875,0.0
8.25,14787.664932655596
8.28125,0.0
8.3125,0.0
8.34375,7759.715677162199
8.375,896.8701602472285
8.40625,0.0
8.4375,4240.377249921106
8.46875,0.0
8.5,0.0
8.53125,6703.016929275949
8.5625,1910.5551492657935
8.59375,0.0
8.625,0.0
8.65625,12420.632361026004
8.6875,0.0
8.71875,6902.89478715265
8.75,0.0
8.78125,0.0
8.8125,0.0
8.84375,0.0
8.875,646.1564926067937
8.90625,0.0
8.9375,0.0
8.96875,0.0
9.0,0.0
9.03125,0.0
9.0625,0.0
9.09375,0.0
9.125,7162.98635368988
9.15625,0.0
9.1875,0.0
9.21875,0.0
9.25,3229.7105655309706
9.28125,0.0
9.3125,2229.0368084984234
9.34375,0.0
9.375,0.0
9.40625,0.0
9.4375,0.0
9.46875,0.0
9.5,7922.323223607617
9.53125,0.0
9.5625,0.0
9.59375,0.0
9.625,0.0
9.65625,14960.872754303247
9.6875,0.0
9.71875,0.0
9.75,0.0
9.78125,0.0
9.8125,5834.318419164283
9.84375,6541.215676386895
9.875,830.8113734661842
9.90625,0.0
9.9375,353.49553950804193
9.96875,0.0
10.0,0.0
10.03125,0.0
10.0625,0.0
10.09375,1223.077142619904
10.125,11482.007946866659
10.15625,0.0
10.1875,0.0
10.21875,0.0
10.25,9433.771656130697
10.28125,0.0
10.3125,0.0
